feature,label,count,median,Q1,Q3,IQR,MAD,lower_boundary,upper_boundary,outlier_count,outlier_percentage
left_ear,CLOSED,500,0.1398584260413079,0.11111167832609284,0.18288429612391294,0.0717726177978201,0.03285191848578911,-0.030611128740399868,0.3103279808230157,34,6.800000000000001
left_ear,OPEN,500,0.4293323000460454,0.41434971605608256,0.44359265429947675,0.02924293824339419,0.014508189969755503,0.3540488828568026,0.5046157172352882,17,3.4000000000000004
right_ear,CLOSED,500,0.1729703145941519,0.14169998377218979,0.22118639474188714,0.07948641096969736,0.035890076915060506,-0.013264332111128707,0.3592049612994325,22,4.3999999999999995
right_ear,OPEN,500,0.42536530498910285,0.40486519093811113,0.4419921195875041,0.03712692864939299,0.017936887972724386,0.3322902747377532,0.5184403352404525,19,3.8
ear,CLOSED,500,0.1526188913650544,0.13074109710528786,0.1980501025988519,0.06730900549356403,0.031231683325176306,-0.009443216326742582,0.31468099905685143,44,8.799999999999999
ear,OPEN,500,0.4293939619100941,0.4100141169990135,0.4405676108679655,0.030553493868951953,0.014001231813401793,0.3567411652504851,0.5020467585697032,21,4.2
left_eye_width,CLOSED,500,0.0300636773471879,0.02557206570759435,0.03210879234635128,0.006536726638756929,0.0030048600245655005,0.014471371808300944,0.04565598288607486,0,0.0
left_eye_width,OPEN,500,0.0361084950236518,0.034511202259886346,0.03736910366308387,0.002857901403197527,0.0014095198711870996,0.02879445566241407,0.04342253438488953,8,1.6
left_eye_height_1,CLOSED,500,0.00413141439643125,0.003349248479965575,0.005684886571852425,0.00233563809188685,0.0010670868777682997,-0.0014057302621144126,0.009668559054976912,45,9.0
left_eye_height_1,OPEN,500,0.0159212490535768,0.014687886552548325,0.0167729450349331,0.0020850584823847735,0.0009447727120655003,0.01101879613700267,0.020823701970150932,11,2.1999999999999997
left_eye_height_2,CLOSED,500,0.00375512527882325,0.0029482727640538003,0.00527851066866235,0.0023302379046085493,0.00105272801207545,-0.0017075108105230434,0.009217761368169543,41,8.200000000000001
left_eye_height_2,OPEN,500,0.01504403022166105,0.013877832833643699,0.01610219625444175,0.0022243634207980527,0.0011067627295006507,0.009301006421435287,0.020787054021886815,9,1.7999999999999998
right_eye_width,CLOSED,500,0.029188751912985,0.0258384268638149,0.0312558519623538,0.005417425098538903,0.0025032947340349002,0.016199083167066315,0.04217842065890368,0,0.0
right_eye_width,OPEN,500,0.0343951149686223,0.0318213595467718,0.03583403851953695,0.004012678972765145,0.0021007372885960517,0.023494328445143896,0.0452959014921007,0,0.0
right_eye_height_1,CLOSED,500,0.0046946095116208,0.0035245402728049753,0.0061677071027288,0.0026431668299238247,0.00125834975410325,-0.0018350037416948036,0.011224222764936405,2,0.4
right_eye_height_1,OPEN,500,0.0139168817533732,0.012519142345995101,0.0151587026230616,0.002639560277066499,0.00129529340705735,0.007195566816826535,0.020638196689919865,5,1.0
right_eye_height_2,CLOSED,500,0.005529114775031501,0.0042622060697829495,0.00713886815912425,0.0028766620893413003,0.0013221696561876006,-0.0013316617952525648,0.012389891345315566,1,0.2
right_eye_height_2,OPEN,500,0.0148001285037592,0.01326102632081165,0.016058719490214625,0.0027976931694029747,0.0013966689334899002,0.007552773029756753,0.02204748397776165,4,0.8
